379,2,-9.31313403132461E-15
92,22,-8.326672684688674E-17
14,22,1.6653345369377348E-16
71,12,5.9207907944936605E-15
337,16,7.332459292519466E-16
112,10,-1.8246038360758554E-15
264,18,2.710125113420444E-15
403,14,-1.5470887375010345E-16
177,9,6.137207712517134E-15
42,4,-2.3110853508701013E-15
419,21,4.937863269313669E-16
150,4,4.227185685908366E-16
176,10,9.750365662433702E-16
72,12,-1.4471930598336513E-15
428,8,1.3672602546671575E-15
252,10,-3.0700268716099544E-15
394,16,-5.030427029789619E-16
201,16,-2.652541272567255E-15
214,19,-1.3133144203224256E-15
421,15,-1.2316807729978452E-15
232,5,-2.3614245189254243E-15
99,7,1.4535233605649563E-16
240,0,4.632965289620011E-16
481,2,1.556643269146063E-15
89,6,-6.505213034913027E-16
269,20,1.631480324101875E-15
267,4,1.1562270780564321E-15
132,8,4.0635897424756706E-16
274,2,-2.1322733075729294E-15
493,9,8.641836703703054E-16
264,16,7.452737971029577E-16
20,7,6.67622898696367E-16
290,3,-1.9682098019533495E-15
57,1,6.5640953772743565E-15
283,2,3.2622559167916343E-15
500,12,8.269087996802538E-15
245,5,2.4378302788995512E-15
339,22,3.8163916471489756E-17
224,2,-1.9225479498327647E-15
115,2,-5.878086781424888E-15
494,15,-1.2758349064723173E-16
288,15,-4.428288248245482E-16
32,18,1.2624378945653644E-14
48,9,9.452345590271749E-15
206,20,-4.628621704666491E-15
166,17,-7.023732723904219E-16
8,17,-9.981571775716236E-16
81,11,1.4790401433976974E-14
428,16,1.120956626132763E-15
108,0,2.0145187872456366E-15
224,14,3.8821756139645336E-15
487,5,2.6929430500853904E-15
393,1,-1.0437123564804136E-15
149,9,2.905492415671701E-16
452,20,9.772998382784337E-15
273,17,2.0751629581372555E-16
464,17,4.217288952952647E-15
249,22,-5.551115123125783E-17
342,0,3.318166867573996E-16
197,17,5.299038118022903E-17
295,22,1.3877787807814457E-17
64,8,-1.9157852387818863E-15
298,19,-3.1695295259898115E-16
78,22,-1.3877787807814457E-17
65,8,-2.194452302164973E-15
87,1,3.1922946349431243E-15
298,10,1.6029929120198183E-16
132,15,9.32847549206528E-16
259,4,3.5261024446966126E-15
66,11,7.66364239863232E-15
380,8,-4.021305857748736E-16
49,9,9.543547321768514E-15
